method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
iCANS,3,0,5000,4680,13,-0.333290632153698,-0.920476372171203,0.6379150598211033
iCANS,3,0,10000,9720,27,-0.5117685293541158,-0.920476372171203,0.4440177446956456
iCANS,3,0,20000,19800,55,-0.7991831331985753,-0.920476372171203,0.1317722460235709
iCANS,3,0,50000,49680,138,-0.9134303823792358,-0.920476372171203,0.007654720973822816
iCANS,3,0,100000,99900,269,-0.9057515051314007,-0.920476372171203,0.0159970070769656
iCANS,3,1,5000,4680,13,-0.5533113127903939,-0.920476372171203,0.3988859143822962
iCANS,3,1,10000,9720,27,-0.8094738880852419,-0.920476372171203,0.12059243174719464
iCANS,3,1,20000,19800,55,-0.9018147094435883,-0.920476372171203,0.020273918257777676
iCANS,3,1,50000,49680,138,-0.9122049617853354,-0.920476372171203,0.00898601054403732
iCANS,3,1,100000,100000,249,-0.9197234101759073,-0.920476372171203,0.0008180133874807216
iCANS,3,2,5000,4680,13,-0.31859635265087694,-0.920476372171203,0.653878836781679
iCANS,3,2,10000,9720,27,-0.47780114683891084,-0.920476372171203,0.48091970496550374
iCANS,3,2,20000,19800,55,-0.8375242306896644,-0.920476372171203,0.09011870808359003
iCANS,3,2,50000,49680,138,-0.9167485784528213,-0.920476372171203,0.004049852697021076
iCANS,3,2,100000,100000,256,-0.9171149135666413,-0.920476372171203,0.00365186843050927
iCANS,3,3,5000,4680,13,-0.42670235822694513,-0.920476372171203,0.5364331218840008
iCANS,3,3,10000,9720,27,-0.6393844945494516,-0.920476372171203,0.305376526894131
iCANS,3,3,20000,19800,55,-0.8388987568854431,-0.920476372171203,0.08862543108340315
iCANS,3,3,50000,49680,138,-0.9120325384764666,-0.920476372171203,0.009173330190778591
iCANS,3,3,100000,99950,264,-0.914359586397005,-0.920476372171203,0.006645239312085642
iCANS,3,4,5000,4680,13,-0.36153253839425603,-0.920476372171203,0.6072332225742203
iCANS,3,4,10000,9720,27,-0.6674939663284398,-0.920476372171203,0.27483856565055864
iCANS,3,4,20000,19800,55,-0.8699914790433958,-0.920476372171203,0.05484648455312806
iCANS,3,4,50000,49680,138,-0.9108513429098033,-0.920476372171203,0.010456573957130911
iCANS,3,4,100000,100000,255,-0.9169771832841062,-0.920476372171203,0.0038014977818964096
