method,n_qubits,budget,median_gap,q25_gap,q75_gap,mean_gap,std_gap,median_shots,median_iterations
Rosalin,3,5000,0.5721317827635534,0.5380207677944293,0.6338904035139598,0.6105826782872071,0.17288436461778459,4680.0,13.0
Rosalin,3,10000,0.33169487883547394,0.24710769829771465,0.4422595837444757,0.37912875574778077,0.1810565964687586,9720.0,27.0
Rosalin,3,20000,0.10390544266916928,0.0864364378637081,0.1342534544263777,0.11815281244378144,0.06726668831304486,19800.0,55.0
Rosalin,3,50000,0.01969935386348833,0.010758446562813096,0.024722754116548305,0.019415259349546916,0.01068415369843391,49680.0,138.0
Rosalin,3,100000,0.006872672066480164,0.004852687810180663,0.007691465106157515,0.006038974739772815,0.002388010876406225,100000.0,213.5
Rosalin,4,5000,0.693719987199952,0.4821520519804427,0.952151987078528,0.708004373488988,0.25220973399061,4800.0,10.0
Rosalin,4,10000,0.4604273402067982,0.33274887104320383,0.7402504852675054,0.5269252944971817,0.24761044806701368,9600.0,20.0
Rosalin,4,20000,0.28502120286310156,0.17289251953237436,0.404420273538528,0.29252228238135,0.13475692483685822,19680.0,41.0
Rosalin,4,50000,0.0520297541160162,0.03886582317976725,0.09582046824857689,0.081635945923904,0.06753170365397282,49920.0,104.0
Rosalin,4,100000,0.014089812248796893,0.01249684496552078,0.020207812331475075,0.023893344075806972,0.02571293745696953,99844.0,201.5
Rosalin,5,5000,0.9958160580800659,0.8995194658176834,1.0769121990544683,0.9792948329481843,0.11693980893020425,4800.0,8.0
Rosalin,5,10000,0.9383767923003077,0.8072583278512245,0.996131531523713,0.8809927557530781,0.15273334114953044,9600.0,16.0
Rosalin,5,20000,0.7898757652220525,0.7324763696375483,0.8372927773031051,0.7405087403124011,0.1628864404801928,19800.0,33.0
Rosalin,5,50000,0.42504220481323474,0.3842354132195512,0.5123877926848568,0.4195940857469561,0.12459247668461527,49800.0,83.0
Rosalin,5,100000,0.21228398280665,0.1423586995676521,0.3273783827613745,0.24149159325435673,0.1225125393381245,99780.0,158.5
Rosalin,6,5000,0.973866097911374,0.9204078009981984,1.017236752102771,0.9658632238151286,0.0874755912992568,4320.0,6.0
Rosalin,6,10000,0.9497307148717244,0.9155600237968362,0.9886349075529961,0.9398229878991886,0.08673396667391226,9360.0,13.0
Rosalin,6,20000,0.9116461262220241,0.8370253636268303,0.9415589436249405,0.8776361226439109,0.09672031077387883,19440.0,27.0
Rosalin,6,50000,0.6888806812397398,0.5436857493168246,0.7365279477532116,0.6529569275372252,0.14523165802316715,49680.0,69.0
Rosalin,6,100000,0.34747425299090234,0.2717370348071671,0.4435742811835678,0.36998179960308775,0.14712354172542633,99504.0,137.5
Rosalin,7,5000,0.9545412627025128,0.9248825247359318,0.9710665814890813,0.9678354589774267,0.08450847494139936,4200.0,5.0
Rosalin,7,10000,0.9324534815637802,0.8831373763415882,0.9617105370961794,0.9381756780123874,0.08659743579608556,9240.0,11.0
Rosalin,7,20000,0.8886518505663327,0.8515193726098647,0.9387354604142626,0.899529324061489,0.09637846315251691,19320.0,23.0
Rosalin,7,50000,0.7832880800495234,0.7170366322362658,0.8470575082749188,0.7846874918080042,0.09591927118276519,49560.0,59.0
Rosalin,7,100000,0.6557170068161695,0.5530311417711348,0.7332911412733912,0.6543279525987246,0.12614527753038057,99666.0,112.0
gCANS,3,5000,0.5782895861546682,0.552779304439277,0.6756124217803,0.6091673373686002,0.17669675662919257,4680.0,13.0
gCANS,3,10000,0.33233562056631005,0.23911981722940615,0.48311254533782527,0.37959246529085006,0.16357910039037962,9720.0,27.0
gCANS,3,20000,0.12138869772474557,0.08345780803956215,0.15456821088548534,0.11976204833653092,0.06451889837823195,19800.0,55.0
gCANS,3,50000,0.010094682121732007,0.006540964563186165,0.016380292614202208,0.012025723425570511,0.007571993163244619,49501.0,126.5
gCANS,3,100000,0.004984203765205144,0.003035542343882312,0.007732234606393889,0.005826997518121985,0.004044620389348616,100000.0,172.0
gCANS,4,5000,0.7635767560017792,0.4800713160127503,0.9194623022932632,0.7298676248844609,0.24775498727489104,4800.0,10.0
gCANS,4,10000,0.485649229594147,0.3362675052726926,0.6814409160023307,0.5275153399931145,0.22446031062444546,9600.0,20.0
gCANS,4,20000,0.27827036851580655,0.17785880170179377,0.37010685926218995,0.31636183457305633,0.18128797669213356,19680.0,41.0
gCANS,4,50000,0.07947877904580009,0.054838640862132096,0.14548863836675788,0.0999163216799945,0.06851563782496864,49781.0,102.0
gCANS,4,100000,0.026130149790034907,0.012322847358441129,0.04062583223340427,0.04244720636799244,0.05353261501552215,99713.0,162.5
gCANS,5,5000,0.9844070150320281,0.8857243987497248,1.095656560708862,0.9850512565097682,0.12380430124172215,4800.0,8.0
gCANS,5,10000,0.918078390634024,0.8322656210445801,1.03211607613494,0.898089670136633,0.16211614864893167,9600.0,16.0
gCANS,5,20000,0.8018015309206344,0.7077667379006277,0.887584043866855,0.7489041385355983,0.20580402028331382,19800.0,33.0
gCANS,5,50000,0.4021271374118055,0.347631396338452,0.5548416715340488,0.4272214681819998,0.16275929874210635,49800.0,83.0
gCANS,5,100000,0.17116933703228265,0.12261300848244341,0.23213359523448712,0.22129565386027536,0.16552613578748762,99747.0,163.5
gCANS,6,5000,0.9781220778961122,0.9207384209430981,1.0130666625923073,0.9704806286338947,0.08673841459373982,4320.0,6.0
gCANS,6,10000,0.9448923399136951,0.904956456326842,0.9817414364718184,0.9378088181386166,0.08273833441414374,9360.0,13.0
gCANS,6,20000,0.8802884898169954,0.8620225433820359,0.9200121483264903,0.8752137326539999,0.0904368439823067,19440.0,27.0
gCANS,6,50000,0.735183236286775,0.6027466131689514,0.775097893185541,0.6646242775746772,0.17890502042107326,49680.0,69.0
gCANS,6,100000,0.3575806701479859,0.18879490795669548,0.5951592987687466,0.38187285899621615,0.23628206802209883,99360.0,136.0
gCANS,7,5000,0.9480076366960322,0.9137302975362627,0.9798955474420453,0.9685902057714125,0.0871737815162974,4200.0,5.0
gCANS,7,10000,0.9316289859036402,0.8821775254762044,0.9660657907684944,0.94586184805993,0.08619199271750021,9240.0,11.0
gCANS,7,20000,0.8965504560744135,0.8373389977145789,0.932482965992677,0.8978225674212457,0.08631440521432085,19320.0,23.0
gCANS,7,50000,0.7912004710215002,0.7168556172166685,0.8218213054818448,0.7840723241702761,0.09401669014139973,49560.0,59.0
gCANS,7,100000,0.5765274362639736,0.552894374204003,0.6906961455832752,0.6176763064312292,0.10651587565138176,99960.0,118.0
iCANS,3,5000,0.6023623160075671,0.5469206108282074,0.6498878925415351,0.6073723180489008,0.17708859649259057,4680.0,13.0
iCANS,3,10000,0.2937874578980893,0.2541416500610851,0.4498139819800894,0.3483586980145258,0.16151024181615692,9720.0,27.0
iCANS,3,20000,0.08937206958349658,0.060006457829752974,0.1220879729827552,0.09449689838823519,0.05113305060262688,19800.0,55.0
iCANS,3,50000,0.00981495207395475,0.008186738526621593,0.013890253483819236,0.010984194776616867,0.004375629848607242,49680.0,138.0
iCANS,3,100000,0.005083559355652227,0.0034628122876112707,0.007514828213395592,0.006075528565563045,0.004413674875782663,99943.0,255.5
iCANS,4,5000,0.7748118292440129,0.49285122343880605,0.921088721007125,0.7239859378473859,0.23565862786770778,4800.0,10.0
