n_qubits,repetition,runtime_seconds
1,0,4.499917849898338e-06
1,1,4.292000085115433e-06
1,2,4.083849489688873e-06
1,3,3.875000402331352e-06
1,4,3.707828000187874e-06
1,5,3.958120942115784e-06
1,6,3.875000402331352e-06
1,7,4.084082320332527e-06
1,8,4.166038706898689e-06
1,9,3.958819434046745e-06
1,10,3.915978595614433e-06
1,11,3.958819434046745e-06
2,0,1.9292114302515984e-05
2,1,1.8750084564089775e-05
2,2,1.8666964024305344e-05
2,3,1.8249964341521263e-05
2,4,1.8416903913021088e-05
2,5,1.837499439716339e-05
2,6,1.816614530980587e-05
2,7,1.8124934285879135e-05
2,8,1.8249964341521263e-05
2,9,1.845788210630417e-05
2,10,1.837499439716339e-05
2,11,1.837499439716339e-05
3,0,8.599995635449886e-05
3,1,8.583301678299904e-05
3,2,8.483300916850567e-05
3,3,8.44169408082962e-05
3,4,8.450006134808064e-05
3,5,8.433405309915543e-05
3,6,8.429097943007946e-05
3,7,8.408399298787117e-05
3,8,8.420809172093868e-05
3,9,8.441600948572159e-05
3,10,8.420785889029503e-05
3,11,8.462509140372276e-05
4,0,0.0003930421080440283
4,1,0.00039308308623731136
4,2,0.0003892499953508377
4,3,0.0003890411462634802
4,4,0.00038950005546212196
4,5,0.00038945814594626427
4,6,0.0003890839871019125
4,7,0.00038845790550112724
4,8,0.00039620790630578995
4,9,0.0003894590772688389
4,10,0.0003933338448405266
4,11,0.00039220904000103474
5,0,0.001888166880235076
5,1,0.001955542014911771
5,2,0.0018732917960733175
5,3,0.0018669168930500746
5,4,0.0018656249158084393
5,5,0.0018691248260438442
5,6,0.001838624943047762
5,7,0.001844916958361864
5,8,0.0018620409537106752
5,9,0.0018579999450594187
5,10,0.0019178749062120914
5,11,0.00186504190787673
6,0,0.008873749990016222
6,1,0.008773542009294033
6,2,0.008830124977976084
6,3,0.008538957918062806
6,4,0.008287624921649694
6,5,0.008261084090918303
6,6,0.008524833945557475
6,7,0.008474749978631735
6,8,0.008427832974120975
6,9,0.008278958965092897
6,10,0.008488124934956431
6,11,0.008445791900157928
7,0,0.037795500131323934
7,1,0.03754837508313358
7,2,0.03770187497138977
7,3,0.03746891603805125
7,4,0.03727470804005861
7,5,0.037379959132522345
7,6,0.0372422079090029
7,7,0.03700616699643433
7,8,0.03704183315858245
7,9,0.037171625066548586
7,10,0.03716016700491309
7,11,0.03742675017565489
8,0,0.16455466696061194
8,1,0.1641991250216961
8,2,0.16488808300346136
8,3,0.16449920902960002
8,4,0.16405599983409047
8,5,0.16484395787119865
8,6,0.16448141704313457
8,7,0.16367570799775422
8,8,0.16452433401718736
8,9,0.16661641700193286
8,10,0.1700240420177579
8,11,0.1667410829104483
9,0,0.7535822500940412
9,1,0.7517047498840839
9,2,0.749115499900654
9,3,0.7476786251645535
9,4,0.7465852499008179
9,5,0.7491564999800175
9,6,0.7503960828762501
9,7,0.7487109999638051
9,8,0.7510987080167979
9,9,0.7498133340850472
9,10,0.7488140829373151
9,11,0.7482522919308394
10,0,3.3077932498417795
10,1,3.300020208116621
10,2,3.3296141251921654
10,3,3.3282226249575615
10,4,3.326929416973144
10,5,3.3284269589930773
10,6,3.328821917064488
10,7,3.310892333043739
10,8,3.309901707805693
10,9,3.3131682500243187
10,10,3.3023087920155376
10,11,3.3036143749486655
