init,optimizer,run,normalized_final_score
reduced-domain,COBYLA,14,0.9927629774354257
reduced-domain,COBYLA,11,0.9841704621009537
reduced-domain,COBYLA,1,0.9933464068346547
reduced-domain,COBYLA,7,0.964856183974771
reduced-domain,COBYLA,16,0.9895845576270974
reduced-domain,COBYLA,9,0.9588776763179359
reduced-domain,COBYLA,5,0.9837484929542482
reduced-domain,COBYLA,6,0.9793628765586124
reduced-domain,COBYLA,0,0.9844540485013147
reduced-domain,COBYLA,17,0.995190802072246
reduced-domain,COBYLA,2,0.9702099819040991
reduced-domain,COBYLA,18,0.911752593704944
reduced-domain,COBYLA,8,0.9873062960825699
reduced-domain,COBYLA,12,0.99560071744968
reduced-domain,COBYLA,13,0.9675943782487729
reduced-domain,COBYLA,15,0.9865142985657195
reduced-domain,COBYLA,19,0.9521766410864528
reduced-domain,COBYLA,3,0.9919788990270166
reduced-domain,COBYLA,4,0.9643878368350789
reduced-domain,COBYLA,10,0.9893303480591376
reduced-domain,COBYLA,20,0.9566966821653825
reduced-domain,COBYLA,22,0.9458847617655475
reduced-domain,COBYLA,21,0.9940523156201815
reduced-domain,COBYLA,24,0.9969728562099809
reduced-domain,COBYLA,23,0.996503952384406
reduced-domain,COBYLA,25,0.9948417573419768
reduced-domain,COBYLA,26,0.9922971255447103
reduced-domain,COBYLA,28,0.9832940948323005
reduced-domain,COBYLA,30,0.9665190685696885
reduced-domain,COBYLA,29,0.9987392947768372
reduced-domain,COBYLA,33,0.9775604268582317
reduced-domain,COBYLA,31,0.998048376328088
reduced-domain,COBYLA,32,0.9127348413014729
reduced-domain,COBYLA,27,0.9129644258342875
reduced-domain,COBYLA,34,0.9973175784648425
reduced-domain,COBYLA,35,0.9832264261466669
reduced-domain,COBYLA,37,0.9585368209764669
reduced-domain,COBYLA,36,0.9929631568370275
reduced-domain,COBYLA,38,0.942970093804743
reduced-domain,COBYLA,39,0.9705714914883335
reduced-domain,COBYLA,40,0.9777327624157761
reduced-domain,COBYLA,41,0.98608681984992
reduced-domain,COBYLA,42,0.9922269814960121
reduced-domain,COBYLA,43,0.997743831747433
reduced-domain,COBYLA,44,0.9572391813983502
reduced-domain,COBYLA,45,0.9797282243422917
reduced-domain,COBYLA,46,0.9911276853308709
reduced-domain,COBYLA,48,0.9796447344483925
reduced-domain,COBYLA,47,0.9855956258501273
reduced-domain,COBYLA,49,0.9859601565202395
reduced-domain,COBYLA,51,0.9984073046250791
reduced-domain,COBYLA,53,0.9983945256008302
reduced-domain,COBYLA,52,0.9948522240492752
reduced-domain,COBYLA,50,0.9544372705848271
reduced-domain,COBYLA,54,0.9951387442867625
reduced-domain,COBYLA,55,0.9915311734092538
reduced-domain,COBYLA,56,0.9934842135791431
reduced-domain,COBYLA,57,0.9980875697884483
reduced-domain,COBYLA,58,0.9881172031594998
reduced-domain,COBYLA,59,0.9841937039473939
reduced-domain,COBYLA,60,0.9456350032815056
reduced-domain,COBYLA,62,0.9916417583662567
reduced-domain,COBYLA,61,0.9904467112367417
reduced-domain,COBYLA,63,0.9885029099863489
reduced-domain,COBYLA,64,0.9520800719656254
reduced-domain,COBYLA,65,0.9917735576726339
reduced-domain,COBYLA,66,0.987676537632722
reduced-domain,COBYLA,67,0.9884112295651807
reduced-domain,COBYLA,68,0.9910108961361281
reduced-domain,COBYLA,70,0.9534905534571638
reduced-domain,COBYLA,71,0.997652088233341
reduced-domain,COBYLA,72,0.9746842411017614
reduced-domain,COBYLA,69,0.9732832248107252
reduced-domain,COBYLA,73,0.999060178867075
reduced-domain,COBYLA,74,0.9947568510147464
reduced-domain,COBYLA,75,0.943611674288563
reduced-domain,COBYLA,76,0.9939026373321452
reduced-domain,COBYLA,77,0.997371688027867
reduced-domain,COBYLA,78,0.962520880151254
reduced-domain,COBYLA,79,0.9914144825645588
reduced-domain,COBYLA,80,0.9637459540701929
reduced-domain,COBYLA,81,0.9848908120217781
reduced-domain,COBYLA,82,0.9847027240084644
reduced-domain,COBYLA,83,0.9503702058600011
reduced-domain,COBYLA,84,0.9932228011435211
reduced-domain,COBYLA,85,0.9987799020529866
reduced-domain,COBYLA,86,0.9899209099418446
reduced-domain,COBYLA,88,0.9955715364603439
reduced-domain,COBYLA,87,0.9982441020977708
reduced-domain,COBYLA,89,0.9896947007172874
reduced-domain,COBYLA,92,0.9916553924138414
reduced-domain,COBYLA,90,0.9784804923717664
reduced-domain,COBYLA,91,0.976617784649083
reduced-domain,COBYLA,93,0.9974224581874019
reduced-domain,COBYLA,94,0.9646472622286263
reduced-domain,COBYLA,95,0.980348316878201
reduced-domain,COBYLA,96,0.9668910358675935
reduced-domain,COBYLA,97,0.9979150828419393
reduced-domain,COBYLA,98,0.9949401425473692
reduced-domain,COBYLA,99,0.986957714839624
reduced-domain,Powell,0,0.9999917853505387
reduced-domain,Powell,16,0.9999733659885253
reduced-domain,Powell,13,0.9999909114313588
reduced-domain,Powell,6,0.9999883709363935
reduced-domain,Powell,3,0.9999841994454268
reduced-domain,Powell,5,0.9999893584763947
reduced-domain,Powell,12,0.9999745426862217
reduced-domain,Powell,8,0.9999848179916467
reduced-domain,Powell,2,0.9999915219301864
reduced-domain,Powell,11,0.9999911802267096
