metric,n,problem_seed,method,value
loss_variance,3,0,reduced-domain,0.010609185443314854
loss_variance,3,0,Gaussian,0.003086505927063171
loss_variance,3,0,small,2.5307452279375545e-06
loss_variance,3,0,MBL,0.0004509356108410673
loss_variance,3,0,Xavier-normal,0.10573331588390672
loss_variance,3,0,Xavier-uniform,0.11520855216504236
loss_variance,3,0,GMM,0.5923676304811807
loss_variance,3,0,uniform,0.11599342051715995
loss_variance,5,0,reduced-domain,0.0318661873292451
loss_variance,5,0,Gaussian,0.009674651611129743
loss_variance,5,0,small,3.81880314553647e-07
loss_variance,5,0,MBL,0.005614626516273465
loss_variance,5,0,Xavier-normal,0.032910874190587434
loss_variance,5,0,Xavier-uniform,0.03319223953914489
loss_variance,5,0,GMM,0.6434725865912997
loss_variance,5,0,uniform,0.03042647490270723
loss_variance,7,0,reduced-domain,0.022771945964680126
loss_variance,7,0,Gaussian,0.007195549118347462
loss_variance,7,0,small,5.486542321338444e-08
loss_variance,7,0,MBL,0.007810402087974233
loss_variance,7,0,Xavier-normal,0.029343941784481343
loss_variance,7,0,Xavier-uniform,0.02786339675532189
loss_variance,7,0,GMM,0.6126859794135802
loss_variance,7,0,uniform,0.007424850171663417
loss_variance,9,0,reduced-domain,0.021606073846719483
loss_variance,9,0,Gaussian,0.006914696347519421
loss_variance,9,0,small,1.3979529020702005e-08
loss_variance,9,0,MBL,0.011503029326729728
loss_variance,9,0,Xavier-normal,0.017625950642795315
loss_variance,9,0,Xavier-uniform,0.014816530713798293
loss_variance,9,0,GMM,0.6191667789831824
loss_variance,9,0,uniform,0.0020626684129146744
loss_variance,11,0,reduced-domain,0.008815061097281224
loss_variance,11,0,Gaussian,0.002826767252620169
loss_variance,11,0,small,2.093325927029198e-09
loss_variance,11,0,MBL,0.005267329938262615
loss_variance,11,0,Xavier-normal,0.019550649294873053
loss_variance,11,0,Xavier-uniform,0.019229546926099655
loss_variance,11,0,GMM,0.6113114318189207
loss_variance,11,0,uniform,0.0005826198279463351
loss_variance,13,0,reduced-domain,0.016478897803517405
loss_variance,13,0,Gaussian,0.005068088329968182
loss_variance,13,0,small,1.5940235382052293e-09
loss_variance,13,0,MBL,0.01347401929638446
loss_variance,13,0,Xavier-normal,0.016655897260939693
loss_variance,13,0,Xavier-uniform,0.01583711706825121
loss_variance,13,0,GMM,0.5732916944631933
loss_variance,13,0,uniform,0.00012703171470059243
loss_variance,15,0,reduced-domain,0.019926690520325356
loss_variance,15,0,Gaussian,0.006577276534729067
loss_variance,15,0,small,1.0025945288835025e-09
loss_variance,15,0,MBL,0.019415393764672776
loss_variance,15,0,Xavier-normal,0.015254106975324618
loss_variance,15,0,Xavier-uniform,0.013620130938297191
loss_variance,15,0,GMM,0.6150029469266722
loss_variance,15,0,uniform,3.2168788973832726e-05
loss_variance,17,0,reduced-domain,0.024107101365483906
loss_variance,17,0,Gaussian,0.006384915082247811
loss_variance,17,0,small,6.445869956139414e-10
loss_variance,17,0,MBL,0.022761239884228155
loss_variance,17,0,Xavier-normal,0.017446586682470552
loss_variance,17,0,Xavier-uniform,0.018054007914396545
loss_variance,17,0,GMM,0.6203881529137533
loss_variance,17,0,uniform,9.79628038969553e-06
loss_variance,19,0,reduced-domain,0.017329370211255347
loss_variance,19,0,Gaussian,0.006703095563884582
loss_variance,19,0,small,3.30830254152673e-10
loss_variance,19,0,MBL,0.023146394407898636
loss_variance,19,0,Xavier-normal,0.013563093660860856
loss_variance,19,0,Xavier-uniform,0.01246505283117494
loss_variance,19,0,GMM,0.6446606403854825
loss_variance,19,0,uniform,2.487163718177811e-06
loss_variance,3,1,reduced-domain,0.03411041372831455
loss_variance,3,1,Gaussian,0.008492159825724184
loss_variance,3,1,small,9.668489460914263e-06
loss_variance,3,1,MBL,0.0014555312933008943
loss_variance,3,1,Xavier-normal,0.12532834786226318
loss_variance,3,1,Xavier-uniform,0.12881197483307752
loss_variance,3,1,GMM,0.6529651572108344
loss_variance,3,1,uniform,0.11715836912358524
loss_variance,5,1,reduced-domain,0.01850577230817895
loss_variance,5,1,Gaussian,0.00528566325085672
loss_variance,5,1,small,2.253934068683173e-07
loss_variance,5,1,MBL,0.002771476456292189
loss_variance,5,1,Xavier-normal,0.04987757239592375
loss_variance,5,1,Xavier-uniform,0.046205814803881244
loss_variance,5,1,GMM,0.5815049635734012
